code,name,requires,evolves_to,type,HP,stage,count,pack,subpack,illustrator,rarity,generation,pokedex_number,romaji_name,japanese_name,rarity_num
A1a 042,Primeape,A1 141;A1a 041;PA 017,None,Fighting,80.0,Stage 1,0,Genetic Apex,Mew,Taiga Kayama,◇,1.0,57.0,Okorizaru,オコリザル,1.0
A1a 043,Geodude,None,A1 148;A1a 044,Fighting,70.0,Basic,1,Genetic Apex,Mew,GOSSAN,◇,1.0,74.0,Isitsubute,イシツブテ,1.0
A1a 044,Graveler,A1 147;A1a 043,A1 149;A1a 045,Fighting,100.0,Stage 1,1,Genetic Apex,Mew,Ayaka Yoshida,◇◇,1.0,75.0,Golone,ゴローン,2.0
A1a 045,Golem,A1 147;A1 148;A1a 043;A1a 044,None,Fighting,160.0,Stage 2,0,Genetic Apex,Mew,Masakazu Fukuda,◇◇◇,1.0,76.0,Golonya,ゴローニャ,3.0
A1a 046,Aerodactyl ex,A1 218;A1a 063,None,Fighting,140.0,Stage 1,1,Genetic Apex,Mew,PLANETA CG Works,◇◇◇◇,1.0,142.0,Ptera,プテラ,4.0
A1a 047,Marshadow,None,None,Fighting,80.0,Basic,0,Genetic Apex,Mew,Kantaro,◇◇◇,7.0,802.0,Marshadow,マーシャドー,3.0
A1a 048,Stonjourner,None,None,Fighting,120.0,Basic,1,Genetic Apex,Mew,Teeziro,◇◇,8.0,874.0,Ishihenjin,イシヘンジン,2.0
A1a 049,Koffing,None,A1 177;A1 243;A1a 050,Darkness,70.0,Basic,1,Genetic Apex,Mew,Naoyo Kimura,◇,1.0,109.0,Dogars,ドガース,1.0
A1a 050,Weezing,A1 176;A1a 049,None,Darkness,110.0,Stage 1,1,Genetic Apex,Mew,Mousho,◇◇,1.0,110.0,Matadogas,マタドガス,2.0
A1a 051,Purrloin,None,A1a 052;A3b 046,Darkness,60.0,Basic,2,Genetic Apex,Mew,Kagemaru Himeno,◇,5.0,509.0,Choroneko,チョロネコ,1.0
A1a 052,Liepard,A1a 051;A3b 045,None,Darkness,90.0,Stage 1,1,Genetic Apex,Mew,GIDORA,◇,5.0,510.0,Lepardas,レパルダス,1.0
A1a 053,Venipede,None,A1a 054,Darkness,60.0,Basic,0,Genetic Apex,Mew,Yukiko Baba,◇,5.0,543.0,Fushide,フシデ,1.0
A1a 054,Whirlipede,A1a 053,A1a 055,Darkness,90.0,Stage 1,0,Genetic Apex,Mew,Shin Nagasawa,◇,5.0,544.0,Wheega,ホイーガ,1.0
A1a 055,Scolipede,A1a 053;A1a 054,None,Darkness,140.0,Stage 2,0,Genetic Apex,Mew,5ban Graphics,◇◇,5.0,545.0,Pendror,ペンドラー,2.0
A1a 056,Druddigon,None,None,Dragon,100.0,Basic,0,Genetic Apex,Mew,Ryota Murayama,◇◇,5.0,621.0,Crimgan,クリムガン,2.0
A1a 057,Pidgey,None,A1 187;A1a 058;A3a 096,Colorless,50.0,Basic,1,Genetic Apex,Mew,Shigenori Negishi,◇,1.0,16.0,Poppo,ポッポ,1.0
A1a 058,Pidgeotto,A1 186;A1a 057;A3a 095,A1 188;A1 245;A1a 059;A1a 079;A3a 097;A3a 102,Colorless,90.0,Stage 1,0,Genetic Apex,Mew,Taiga Kayama,◇,1.0,17.0,Pigeon,ピジョン,1.0
A1a 059,Pidgeot ex,A1 186;A1 187;A1a 057;A1a 058;A3a 095;A3a 096,None,Colorless,170.0,Stage 2,0,Genetic Apex,Mew,PLANETA CG Works,◇◇◇◇,1.0,18.0,Pigeot,ピジョット,4.0
A1a 060,Tauros,None,None,Colorless,100.0,Basic,0,Genetic Apex,Mew,KEIICHIRO ITO,◇◇◇,1.0,128.0,Kentauros,ケンタロス,3.0
A1a 061,Eevee,None,A1 045;A1 080;A1 102;A1a 019;A1a 072;A2 020;A2 046;A2a 010;A2a 022;A2a 082;A2a 083;A2a 091;A2a 092;A3b 002;A3b 008;A3b 009;A3b 016;A3b 017;A3b 025;A3b 028;A3b 033;A3b 034;A3b 043;A3b 070;A3b 071;A3b 072;A3b 073;A3b 074;A3b 075;A3b 076;A3b 077;A3b 079;A3b 081;A3b 087;A3b 089;PA 086,Colorless,60.0,Basic,2,Genetic Apex,Mew,Hitoshi Ariga,◇,1.0,133.0,Eievui,イーブイ,1.0
A1a 062,Chatot,None,None,Colorless,60.0,Basic,2,Genetic Apex,Mew,Masako Tomii,◇,4.0,441.0,Perap,ペラップ,1.0
A1a 063,Old Amber,None,A1 210;A1a 046;A1a 078;A1a 084;A3a 098;A3a 101,Item,40.0,,0,Genetic Apex,Mew,Toyste Beach,◇,,,,,1.0
A1a 064,Pokemon Flute,None,None,Item,,,0,Genetic Apex,Mew,Toyste Beach,◇◇,1.0,,Pokemonnofue,ポケモンのふえ,2.0
A1a 065,Mythical Slab,None,None,Item,,,0,Genetic Apex,Mew,AYUMI ODASHIMA,◇◇,2.0,,Maboroshinosekiban,幻の石板,2.0
A1a 066,Budding Expeditioner,None,None,Supporter,,,0,Genetic Apex,Mew,Yuu Nishida,◇◇,2.0,,Kagedashichousain,かけだし調査員,2.0
A1a 067,Blue,None,None,Supporter,,,0,Genetic Apex,Mew,Ryuta Fuse,◇◇,7.0,,Green,グリーン,2.0
A1a 068,Leaf,None,None,Supporter,,,0,Genetic Apex,Mew,En Morikura,◇◇,7.0,,Leaf,リーフ,2.0
A1a 069,Exeggutor,A1 021;A1a 001;A3 001;A3 213;PA 060,None,Grass,130.0,Stage 1,0,Genetic Apex,Mew,Gapao,☆,1.0,103.0,Nassy,ナッシー,5.0
A1a 070,Serperior,None,None,Grass,110.0,Stage 2,1,Genetic Apex,Mew,Rika,☆,5.0,497.0,Jalorda,ジャローダ,5.0
A1a 071,Salandit,None,A1 050;A1a 016;A3 036;A3b 015,Fire,60.0,Basic,0,Genetic Apex,Mew,Nurikabe,☆,7.0,757.0,Yatoumori,ヤトウモリ,5.0
A1a 072,Vaporeon,A1 206;A1 207;A1 208;A1 248;A1a 061;A2 126;A2a 062;A3b 055;A3b 056;A3b 078;A3b 083;A3b 092;PA 030;PA 092,None,Water,120.0,Stage 1,0,Genetic Apex,Mew,Aspara,☆,1.0,134.0,Showers,シャワーズ,5.0
A1a 073,Dedenne,None,None,Electric,60.0,Basic,0,Genetic Apex,Mew,Yuu Nishida,☆,6.0,702.0,Dedenne,デデンネ,5.0
A1a 074,Marshadow,None,None,Fighting,80.0,Basic,0,Genetic Apex,Mew,OKACHEKE,☆,7.0,802.0,Marshadow,マーシャドー,5.0
A1a 075,Celebi ex,None,None,Grass,130.0,Basic,0,Genetic Apex,Mew,PLANETA CG Works,☆☆,2.0,251.0,Celebi,セレビィ,6.0
A1a 076,Gyarados ex,A1 077;A1a 017,None,Water,30.0,Stage 1,0,Genetic Apex,Mew,PLANETA CG Works,☆☆,1.0,130.0,Gyarados,ギャラドス,6.0
A1a 077,Mew ex,None,None,Psychic,130.0,Basic,0,Genetic Apex,Mew,PLANETA CG Works,☆☆,1.0,151.0,Mew,ミュウ,6.0
A1a 078,Aerodactyl ex,A1 218;A1a 063,None,Fighting,140.0,Stage 1,0,Genetic Apex,Mew,PLANETA CG Works,☆☆,1.0,142.0,Ptera,プテラ,6.0
A1a 079,Pidgeot ex,A1 186;A1 187;A1a 057;A1a 058;A3a 095;A3a 096,None,Colorless,170.0,Stage 2,0,Genetic Apex,Mew,PLANETA CG Works,☆☆,,,,,6.0
A1a 080,Budding Expeditioner,None,None,Supporter,,,0,Genetic Apex,Mew,Yuu Nishida,☆☆,2.0,,Kagedashichousain,かけだし調査員,6.0
A1a 081,Blue,None,None,Supporter,,,0,Genetic Apex,Mew,Ryuta Fuse,☆☆,7.0,,Green,グリーン,6.0
A1a 082,Leaf,None,None,Supporter,,,0,Genetic Apex,Mew,En Morikura,☆☆,7.0,,Leaf,リーフ,6.0
A1a 083,Mew ex,None,None,Psychic,130.0,Basic,0,Genetic Apex,Mew,HYOGONOSUKE,☆☆,1.0,151.0,Mew,ミュウ,6.0
A1a 084,Aerodactyl ex,A1 218;A1a 063,None,Fighting,140.0,Stage 1,0,Genetic Apex,Mew,Danciao,☆☆,1.0,142.0,Ptera,プテラ,6.0
A1a 085,Celebi ex,None,None,Grass,130.0,Basic,0,Genetic Apex,Mew,Kantaro,☆☆☆,2.0,251.0,Celebi,セレビィ,7.0
A1a 086,Mew ex,None,None,Psychic,130.0,Basic,0,Genetic Apex,Mew,PLANETA CG Works,♛,1.0,151.0,Mew,ミュウ,10.0
A2 001,Oddish,None,A1 012;A1 228;A2 002,Grass,60.0,Basic,1,Space-Time Smackdown,Dialga,Asako Ito,◇,1.0,43.0,Nazonokusa,ナゾノクサ,1.0
A2 001,Oddish,None,A1 012;A1 228;A2 002,Grass,60.0,Basic,1,Space-Time Smackdown,Palkia;Dialga,Asako Ito,◇,1.0,43.0,Nazonokusa,ナゾノクサ,1.0
A2 002,Gloom,A1 011;A2 001,A1 013;A2 003,Grass,80.0,Stage 1,1,Space-Time Smackdown,Dialga,Shibuzoh.,◇,1.0,44.0,Kusaihana,クサイハナ,1.0
A2 002,Gloom,A1 011;A2 001,A1 013;A2 003,Grass,80.0,Stage 1,1,Space-Time Smackdown,Palkia;Dialga,Shibuzoh,◇,1.0,44.0,Kusaihana,クサイハナ,1.0
A2 003,Bellossom,A1 011;A1 012;A1 228;A2 001;A2 002,None,Grass,130.0,Stage 2,0,Space-Time Smackdown,Dialga,Naoyo Kimura,◇◇,2.0,182.0,Kireihana,キレイハナ,2.0
A2 003,Bellossom,A1 011;A1 012;A1 228;A2 001;A2 002,None,Grass,130.0,Stage 2,0,Space-Time Smackdown,Palkia;Dialga,Naoyo Kimura,◇◇,2.0,182.0,Kireihana,キレイハナ,2.0
A2 004,Tangela,None,A2 005;A2 156,Grass,70.0,Basic,0,Space-Time Smackdown,Dialga,Narumi Sato,◇,1.0,114.0,Monjara,モンジャラ,1.0
A2 005,Tangrowth,A1 024;A2 004,None,Grass,130.0,Stage 1,0,Space-Time Smackdown,Dialga,kodama,◇◇,4.0,465.0,Mojumbo,モジャンボ,2.0
A2 006,Yanma,None,A2 007;A2 180;A2 196,Grass,50.0,Basic,0,Space-Time Smackdown,Dialga,Eri Yamaki,◇,2.0,193.0,Yanyanma,ヤンヤンマ,1.0
A2 007,Yanmega ex,A2 006,None,Grass,140.0,Basic,1,Space-Time Smackdown,Dialga,PLANETA Tsuji,◇◇◇◇,4.0,469.0,Megayanma,メガヤンマ,4.0
A2 008,Roselia,None,A2 009,Grass,70.0,Basic,3,Space-Time Smackdown,Dialga,kirisAki,◇,3.0,315.0,Roselia,ロゼリア,1.0
A2 008,Roselia,None,A2 009,Grass,70.0,Basic,3,Space-Time Smackdown,Palkia;Dialga,kirisAki,◇,3.0,315.0,Roselia,ロゼリア,1.0
A2 009,Roserade,A2 008,None,Grass,100.0,Stage 1,4,Space-Time Smackdown,Dialga,Masakazu Fukuda,◇◇,4.0,407.0,Roserade,ロズレイド,2.0
A2 009,Roserade,A2 008,None,Grass,100.0,Stage 1,4,Space-Time Smackdown,Palkia;Dialga,Masakazu Fukuda,◇◇,4.0,407.0,Roserade,ロズレイド,2.0
A2 010,Turtwig,None,A2 011,Grass,80.0,Basic,1,Space-Time Smackdown,Palkia,OOYAMA,◇,4.0,387.0,Naetle,ナエトル,1.0
A2 011,Grotle,A2 010;PA 035,A2 012,Grass,100.0,Stage 1,2,Space-Time Smackdown,Palkia,Sumiyoshi Kizuki,◇◇,4.0,388.0,Hayashigame,ハヤシガメ,2.0
A2 012,Torterra,None,None,Grass,160.0,Stage 2,1,Space-Time Smackdown,Palkia,kawayoo,◇◇◇,4.0,389.0,Dodaitose,ドダイトス,3.0
A2 013,Kricketot,None,A2 014,Grass,60.0,Basic,1,Space-Time Smackdown,Palkia,Shigenori Negishi,◇,4.0,401.0,Korobohshi,コロボーシ,1.0
A2 014,Kricketune,A2 013,None,Grass,90.0,Basic,1,Space-Time Smackdown,Palkia,Naoyo Kimura,◇,4.0,402.0,Korotock,コロトック,1.0
A2 015,Burmy,None,A2 016;A2 090;A2 115;A2a 003,Grass,60.0,Basic,0,Space-Time Smackdown,Dialga,Mugi Hamada,◇,4.0,412.0,Minomucchi,ミノムッチ,1.0
A2 015,Burmy,None,A2 016;A2 090;A2 115;A2a 003,Grass,60.0,Basic,0,Space-Time Smackdown,Palkia;Dialga,Mugi Hamada,◇,4.0,412.0,Minomucchi,ミノムッチ,1.0
A2 016,Wormadam,A2 015;A2a 002,None,Grass,120.0,Stage 1,2,Space-Time Smackdown,Dialga,Kouki Saitou,◇,4.0,413.0,Minomadam (kusaki No Mino),ミノマダム,1.0
A2 016,Wormadam,A2 015;A2a 002,None,Grass,120.0,Stage 1,2,Space-Time Smackdown,Palkia;Dialga,Kouki Saitou,◇,4.0,413.0,Minomadam (kusaki No Mino),ミノマダム,1.0
A2 017,Combee,None,A2 018;A2a 005,Grass,50.0,Basic,5,Space-Time Smackdown,Dialga,Yukiko Baba,◇,4.0,415.0,Mitsuhoney,ミツハニー,1.0
A2 018,Vespiquen,A2 017;A2 157;A2a 004,None,Grass,100.0,Stage 1,1,Space-Time Smackdown,Dialga,chibi,◇◇,4.0,416.0,Beequen,ビークイン,2.0
A2 019,Carnivine,None,None,Grass,90.0,Basic,0,Space-Time Smackdown,Palkia,Anesaki Dynamic,◇◇,4.0,455.0,Muskippa,マスキッパ,2.0
A2 020,Leafeon,A1 206;A1 207;A1 208;A1 248;A1a 061;A2 126;A2a 062;A3b 055;A3b 056;A3b 078;A3b 083;A3b 092;PA 030;PA 092,None,Grass,90.0,Stage 1,0,Space-Time Smackdown,Dialga,Kouki Saitou,◇◇◇,4.0,470.0,Leafia,リーフィア,3.0
A2 021,Mow Rotom,None,None,Grass,80.0,Basic,1,Space-Time Smackdown,Dialga,kawayoo,◇,4.0,479.0,Cutrotom,カットロトム,1.0
A2 021,Mow Rotom,None,None,Grass,80.0,Basic,1,Space-Time Smackdown,Palkia;Dialga,kawayoo,◇,4.0,479.0,Cutrotom,カットロトム,1.0
A2 022,Shaymin,None,None,Grass,60.0,Basic,0,Space-Time Smackdown,Dialga,Narumi Sato,◇◇◇,4.0,492.0,Shaymin (sky Forme),シェイミ,3.0
A2 023,Magmar,None,A2 024;A2b 012,Fire,80.0,Basic,1,Space-Time Smackdown,Palkia,Hiroki Asanuma,◇,1.0,126.0,Boober,ブーバー,1.0
A2 024,Magmortar,A1 044;A1a 012;A2 023;A2b 011,None,Fire,130.0,Stage 1,0,Space-Time Smackdown,Palkia,KEIICHIRO ITO,◇◇◇,4.0,467.0,Booburn,ブーバーン,3.0
A2 025,Slugma,None,A2 026,Fire,70.0,Basic,1,Space-Time Smackdown,Dialga,Naoyo Kimura,◇,2.0,218.0,Magmag,マグマッグ,1.0
A2 025,Slugma,None,A2 026,Fire,70.0,Basic,1,Space-Time Smackdown,Palkia;Dialga,Naoyo Kimura,◇,2.0,218.0,Magmag,マグマッグ,1.0
A2 026,Magcargo,A2 025,None,Fire,120.0,Stage 1,0,Space-Time Smackdown,Dialga,Oswaldo KATO,◇◇,2.0,219.0,Magcargot,マグカルゴ,2.0
A2 026,Magcargo,A2 025,None,Fire,120.0,Stage 1,0,Space-Time Smackdown,Palkia;Dialga,Oswaldo KATO,◇◇,2.0,219.0,Magcargot,マグカルゴ,2.0
A2 027,Chimchar,None,A2 028,Fire,60.0,Basic,1,Space-Time Smackdown,Palkia,Kagemaru Himeno,◇,4.0,390.0,Hikozaru,ヒコザル,1.0
A2 028,Monferno,A2 027;PA 040,A2 029;A2 181;A2 197,Fire,80.0,Stage 1,1,Space-Time Smackdown,Palkia,Masakazu Fukuda,◇◇,4.0,391.0,Moukazaru,モウカザル,2.0
A2 029,Infernape ex,A2 027;A2 028;PA 040,None,Fire,170.0,Stage 2,0,Space-Time Smackdown,Palkia,PLANETA CG Works,◇◇◇◇,4.0,392.0,Goukazaru,ゴウカザル,4.0
A2 030,Heat Rotom,None,None,Fire,80.0,Basic,5,Space-Time Smackdown,Dialga,Kedamahadaitai Yawarakai,◇,4.0,479.0,Heatrotom,ヒートロトム,1.0
A2 030,Heat Rotom,None,None,Fire,80.0,Basic,5,Space-Time Smackdown,Palkia;Dialga,Kedamahadaitai Yawarakai,◇,4.0,479.0,Heatrotom,ヒートロトム,1.0
A2 031,Swinub,None,A2 032,Water,60.0,Basic,0,Space-Time Smackdown,Dialga,Eri Yamaki,◇,2.0,220.0,Urimoo,ウリムー,1.0
A2 032,Piloswine,A2 031,A2 033;A2 160,Water,110.0,Stage 1,2,Space-Time Smackdown,Dialga,Suwama Chiaki,◇◇,2.0,221.0,Inomoo,イノムー,2.0
A2 033,Mamoswine,A2 031;A2 032,None,Water,160.0,Stage 2,1,Space-Time Smackdown,Dialga,match,◇◇◇,4.0,473.0,Mammoo,マンムー,3.0
A2 034,Regice,None,None,Water,110.0,Basic,1,Space-Time Smackdown,Palkia,Tomokazu Komiya,◇◇,3.0,378.0,Regice,レジアイス,2.0
A2 035,Piplup,None,A2 036,Water,60.0,Basic,0,Space-Time Smackdown,Palkia,Hajime Kusajima,◇,4.0,393.0,Pochama,ポッチャマ,1.0
A2 036,Prinplup,A2 035;PA 034,A2 037,Water,90.0,Stage 1,1,Space-Time Smackdown,Palkia,Mizue,◇◇,4.0,394.0,Pottaishi,ポッタイシ,2.0
A2 037,Empoleon,A2 035;A2 036;PA 034,None,Water,150.0,Stage 2,1,Space-Time Smackdown,Palkia,Satoshi Shirai,◇◇◇,4.0,395.0,Emperte,エンペルト,3.0
A2 038,Buizel,None,A2 039;A2b 017;PA 053,Water,60.0,Basic,4,Space-Time Smackdown,Dialga,OKUBO,◇,4.0,418.0,Buoysel,ブイゼル,1.0
A2 038,Buizel,None,A2 039;A2b 017;PA 053,Water,60.0,Basic,4,Space-Time Smackdown,Palkia;Dialga,OKUBO,◇,4.0,418.0,Buoysel,ブイゼル,1.0
A2 039,Floatzel,A2 038;A2b 016;A2b 074,None,Water,90.0,Stage 2,2,Space-Time Smackdown,Dialga,Kanako Eo,◇◇,4.0,419.0,Floazel,フローゼル,2.0
A2 039,Floatzel,A2 038;A2b 016;A2b 074,None,Water,90.0,Stage 2,2,Space-Time Smackdown,Palkia;Dialga,Kanako Eo,◇◇,4.0,419.0,Floazel,フローゼル,2.0
A2 040,Shellos,None,A2 041;A2 161,Water,70.0,Basic,2,Space-Time Smackdown,Palkia,Teeziro,◇,4.0,422.0,Karanakushi,カラナクシ,1.0
A2 041,Gastrodon,A2 040,None,Water,120.0,Stage 1,0,Space-Time Smackdown,Palkia,Aya Kusube,◇◇,4.0,423.0,Tritodon,トリトドン,2.0
A2 042,Finneon,None,A1a 021;A2 043,Water,50.0,Basic,2,Space-Time Smackdown,Dialga,Shigenori Negishi,◇,4.0,456.0,Keikouo,ケイコウオ,1.0
A2 042,Finneon,None,A1a 021;A2 043,Water,50.0,Basic,2,Space-Time Smackdown,Palkia;Dialga,Shigenori Negishi,◇,4.0,456.0,Keikouo,ケイコウオ,1.0
A2 043,Lumineon,A1a 020;A2 042,None,Water,90.0,Stage 1,4,Space-Time Smackdown,Dialga,rika,◇◇,4.0,457.0,Neolant,ネオラント,2.0
A2 043,Lumineon,A1a 020;A2 042,None,Water,90.0,Stage 1,4,Space-Time Smackdown,Palkia;Dialga,rika,◇◇,4.0,457.0,Neolant,ネオラント,2.0
A2 044,Snover,None,A2 045;A2a 021,Water,70.0,Basic,3,Space-Time Smackdown,Dialga,match,◇,4.0,459.0,Yukikaburi,ユキカブリ,1.0
A2 044,Snover,None,A2 045;A2a 021,Water,70.0,Basic,3,Space-Time Smackdown,Palkia;Dialga,match,◇,4.0,459.0,Yukikaburi,ユキカブリ,1.0
A2 045,Abomasnow,A2 044;A2a 020,None,Water,140.0,Stage 1,2,Space-Time Smackdown,Dialga,Shin Nagasawa,◇◇,4.0,460.0,Yukinooh,ユキノオー,2.0
A2 045,Abomasnow,A2 044;A2a 020,None,Water,140.0,Stage 1,2,Space-Time Smackdown,Palkia;Dialga,Shin Nagasawa,◇◇,4.0,460.0,Yukinooh,ユキノオー,2.0
A2 046,Glaceon,A1 206;A1 207;A1 208;A1 248;A1a 061;A2 126;A2a 062;A3b 055;A3b 056;A3b 078;A3b 083;A3b 092;PA 030;PA 092,None,Water,90.0,Stage 1,1,Space-Time Smackdown,Palkia,Naoyo Kimura,◇◇◇,4.0,471.0,Glacia,グレイシア,3.0
A2 047,Wash Rotom,None,None,Water,80.0,Basic,2,Space-Time Smackdown,Dialga,Saboteri,◇,4.0,479.0,Washrotom,ウォッシュロトム,1.0
A2 047,Wash Rotom,None,None,Water,80.0,Basic,2,Space-Time Smackdown,Palkia;Dialga,Saboteri,◇,4.0,479.0,Washrotom,ウォッシュロトム,1.0
A2 048,Frost Rotom,None,None,Water,80.0,Basic,4,Space-Time Smackdown,Dialga,MAHOU,◇,4.0,479.0,Frostrotom,フロストロトム,1.0
A2 048,Frost Rotom,None,None,Water,80.0,Basic,4,Space-Time Smackdown,Palkia;Dialga,MAHOU,◇,4.0,479.0,Frostrotom,フロストロトム,1.0
A2 049,Palkia ex,None,None,Water,150.0,Basic,0,Space-Time Smackdown,Palkia,PLANETA CG Works,◇◇◇◇,4.0,484.0,Palkia,パルキア,4.0
A2 050,Manaphy,None,None,Water,50.0,Basic,0,Space-Time Smackdown,Palkia,MINAMINAMI Take,◇◇,4.0,490.0,Manaphy,マナフィ,2.0
A2 051,Magnemite,None,A1 098;A2 052;A2a 054,Electric,60.0,Basic,0,Space-Time Smackdown,Dialga,MAHOU,◇,1.0,81.0,Coil,コイル,1.0
A2 051,Magnemite,None,A1 098;A2 052;A2a 054,Electric,60.0,Basic,0,Space-Time Smackdown,Palkia;Dialga,MAHOU,◇,1.0,81.0,Coil,コイル,1.0
A2 052,Magneton,A1 097;A2 051;A2a 053;A2a 080;PA 024,A2 053;A2a 055,Electric,80.0,Stage 1,0,Space-Time Smackdown,Dialga,Yumi,◇◇,1.0,82.0,Rarecoil,レアコイル,2.0
A2 052,Magneton,A1 097;A2 051;A2a 053;A2a 080;PA 024,A2 053;A2a 055,Electric,80.0,Stage 1,0,Space-Time Smackdown,Palkia;Dialga,Yumi,◇◇,1.0,82.0,Rarecoil,レアコイル,2.0
A2 053,Magnezone,A1 097;A1 098;A2 051;A2 052;A2a 053;A2a 054;A2a 080;PA 024,None,Electric,140.0,Stage 2,1,Space-Time Smackdown,Dialga,Yoshinobu Saito,◇◇◇,4.0,462.0,Jibacoil,ジバコイル,3.0
A2 053,Magnezone,A1 097;A1 098;A2 051;A2 052;A2a 053;A2a 054;A2a 080;PA 024,None,Electric,140.0,Stage 2,1,Space-Time Smackdown,Palkia;Dialga,Yoshinobu Saito,◇◇◇,4.0,462.0,Jibacoil,ジバコイル,3.0
A2 054,Voltorb,None,A1 100;A1 235;A2 055;A2b 024;A3b 096,Electric,60.0,Basic,0,Space-Time Smackdown,Dialga,Midori Harada,◇,1.0,100.0,Biriridama,ビリリダマ,1.0
A2 054,Voltorb,None,A1 100;A1 235;A2 055;A2b 024;A3b 096,Electric,60.0,Basic,0,Space-Time Smackdown,Palkia;Dialga,Midori Harada,◇,1.0,100.0,Biriridama,ビリリダマ,1.0
A2 055,Electrode,A1 099;A2 054;A2b 023;A3b 095,None,Electric,80.0,Stage 1,1,Space-Time Smackdown,Dialga,Anesaki Dynamic,◇◇,1.0,101.0,Marumine,マルマイン,2.0
A2 055,Electrode,A1 099;A2 054;A2b 023;A3b 095,None,Electric,80.0,Stage 1,1,Space-Time Smackdown,Palkia;Dialga,Anesaki Dynamic,◇◇,1.0,101.0,Marumine,マルマイン,2.0
A2 056,Electabuzz,None,A2 057;PA 036,Electric,80.0,Basic,4,Space-Time Smackdown,Dialga,Shin Nagasawa,◇,1.0,125.0,Eleboo,エレブー,1.0
A2 057,Electivire,A1 101;A1a 027;A2 056,None,Electric,120.0,Stage 1,0,Space-Time Smackdown,Dialga,kawayoo,◇◇◇,4.0,466.0,Elekible,エレキブル,3.0
A2 058,Shinx,None,A2 059;A3a 014,Electric,60.0,Basic,3,Space-Time Smackdown,Dialga,Shibuzoh.,◇,4.0,403.0,Kolink,コリンク,1.0
A2 059,Luxio,A2 058;A2 163;A3a 013,A2 060;A3a 015,Electric,90.0,Stage 1,3,Space-Time Smackdown,Dialga,Naoki Saito,◇◇,4.0,404.0,Luxio,ルクシオ,2.0
A2 060,Luxray,A2 058;A2 059;A2 163;A3a 013;A3a 014,None,Electric,130.0,Stage 2,0,Space-Time Smackdown,Dialga,Hitoshi Ariga,◇◇◇,4.0,405.0,Rentorar,レントラー,3.0
A2 061,Pachirisu ex,None,None,Electric,120.0,Basic,0,Space-Time Smackdown,Dialga,PLANETA Tsuji,◇◇◇◇,4.0,417.0,Pachirisu,パチリス,4.0
A2 062,Rotom,None,None,Electric,70.0,Basic,2,Space-Time Smackdown,Palkia,Krgc,◇,4.0,479.0,Rotom,ロトム,1.0
A2 063,Togepi,None,A2 064,Psychic,50.0,Basic,0,Space-Time Smackdown,Dialga,Narumi Sato,◇,2.0,175.0,Togepy,トゲピー,1.0
A2 063,Togepi,None,A2 064,Psychic,50.0,Basic,0,Space-Time Smackdown,Palkia;Dialga,Narumi Sato,◇,2.0,175.0,Togepy,トゲピー,1.0
A2 064,Togetic,A2 063;PA 041,A2 065,Psychic,50.0,Stage 1,2,Space-Time Smackdown,Dialga,Kanako Eo,◇◇,2.0,176.0,Togechick,トゲチック,2.0
A2 064,Togetic,A2 063;PA 041,A2 065,Psychic,50.0,Stage 1,2,Space-Time Smackdown,Palkia;Dialga,Kanako Eo,◇◇,2.0,176.0,Togechick,トゲチック,2.0
A2 065,Togekiss,A2 063;A2 064;PA 041,None,Psychic,140.0,Stage 2,0,Space-Time Smackdown,Dialga,kawayoo,◇◇◇,4.0,468.0,Togekiss,トゲキッス,3.0
A2 065,Togekiss,A2 063;A2 064;PA 041,None,Psychic,140.0,Stage 2,0,Space-Time Smackdown,Palkia;Dialga,kawayoo,◇◇◇,4.0,468.0,Togekiss,トゲキッス,3.0
A2 066,Misdreavus,None,A2 067;A2 184;A2 199,Psychic,60.0,Basic,1,Space-Time Smackdown,Palkia,Sumiyoshi Kizuki,◇,2.0,200.0,Muma,ムウマ,1.0
A2 067,Mismagius ex,A2 066;PA 038,None,Psychic,140.0,Stage 1,0,Space-Time Smackdown,Palkia,PLANETA Igarashi,◇◇◇◇,4.0,429.0,Muumargi,ムウマージ,4.0
A2 068,Ralts,None,A1 131;A2 069;A3b 098,Psychic,60.0,Basic,0,Space-Time Smackdown,Dialga,Miki Tanaka,◇,3.0,280.0,Ralts,ラルトス,1.0
A2 069,Kirlia,A1 130;A2 068;A3b 097,A1 132;A3b 099,Psychic,80.0,Stage 1,1,Space-Time Smackdown,Dialga,Yukiko Baba,◇,3.0,281.0,Kirlia,キルリア,1.0
A2 070,Duskull,None,A2 071,Psychic,60.0,Basic,0,Space-Time Smackdown,Dialga,ryoma uratsuka,◇,3.0,355.0,Yomawaru,ヨマワル,1.0
A2 071,Dusclops,A2 070,A2 072,Psychic,90.0,Stage 1,0,Space-Time Smackdown,Dialga,Sumiyoshi Kizuki,◇◇,3.0,356.0,Samayouru,サマヨール,2.0
A2 072,Dusknoir,A2 070;A2 071,None,Psychic,130.0,Stage 2,3,Space-Time Smackdown,Dialga,Suwama Chiaki,◇◇◇,4.0,477.0,Yonoir,ヨノワール,3.0
A2 073,Drifloon,None,A2 074;A2b 034,Psychic,50.0,Basic,1,Space-Time Smackdown,Dialga,Atsuko Nishida,◇,4.0,425.0,Fuwante,フワンテ,1.0
